CD_MUN,cluster_final
2504702,4000
2504801,4000
2504850,4000
2505006,4000
2505105,4000
2505204,4000
2505279,4000
2505303,4000
2505352,4000
2505402,4000
2505501,4000
2505600,4000
2505709,4000
2505808,4000
2505907,4000
2506004,4000
2506103,4000
2506202,4000
2506251,4000
2506301,4000
2506400,4000
2506509,4000
2506608,4000
2506707,4000
2506806,4000
2506905,4000
2507002,4000
2507101,4000
2507200,4000
2507309,4000
2507408,4000
2507507,4000
2507606,4000
2507705,4000
2507804,4000
2507903,4000
2508000,4000
2508109,4000
2508208,4000
2508307,4000
2508406,4000
2508505,4000
2508554,4000
2508604,4000
2508703,4000
2508802,4000
2508901,4000
2509008,4000
2509156,4000
2509206,4000
2509305,4000
2509339,4000
2509370,4000
2509396,4000
2509404,4000
2509503,4000
2509602,4000
2509701,4000
2509800,4000
2510006,4000
2510204,4000
2510303,4000
2510402,4000
2510501,4000
2510600,4000
2510659,4000
2510709,4000
2510808,4000
2510907,4000
2511004,4000
2511103,4000
2511202,4000
2511301,4000
2511400,4000
2511509,4000
2511608,4000
2511707,4000
2511806,4000
2512002,4000
2512036,4000
2512077,4000
2512101,4000
2512200,4000
2512309,4000
2512408,4000
2512507,4000
2512606,4000
2512705,4000
2512721,4000
2512747,4000
2512754,4000
2512762,4000
2512788,4000
2512804,4000
2512903,4000
2513000,4000
2513109,4000
2513158,4000
2513208,4000
2513307,4000
2513406,4000
2513505,4000
2513604,4000
2513653,4000
2513703,4000
2513802,4000
2513851,4000
2513901,4000
2513927,4000
2513943,4000
2513968,4000
2513984,4000
2514008,4000
2514107,4000
2514206,4000
2514305,4000
2514404,4000
2514453,4000
2514503,4000
2514552,4000
2514602,4000
2514651,4000
2514701,4000
2514800,4000
2514909,4000
2515005,4000
2515104,4000
2515203,4000
2515401,4000
2515500,4000
2515609,4000
2515708,4000
2515807,4000
2515906,4000
2515930,4000
2515971,4000
2516003,4000
2516102,4000
2516151,4000
2516201,4000
2516300,4000
2516409,4000
2516508,4000
2516607,4000
2516706,4000
2516755,4000
2516805,4000
2516904,4000
2517001,4000
2517100,4000
2517209,4000
2517407,4000
2600054,4000
2600104,4000
2600203,4000
2600401,4000
2600500,4000
2600708,4000
2600906,4000
2601003,4000
2601102,4000
2601201,4000
2601409,4000
2601607,4000
2601706,4000
2601805,4000
2601904,4000
2602001,4000
2602100,4000
2602209,4000
2602407,4000
2602506,4000
2602605,4000
2602803,4000
2603009,4000
2603108,4000
2603207,4000
2603306,4000
2603405,4000
2603702,4000
2603801,4000
2603900,4000
2603926,4000
2604007,4000
2604155,4000
2604205,4000
2604502,4000
2604601,4000
2604700,4000
2605103,4000
2605152,4000
2605202,4000
2605301,4000
2605608,4000
2605707,4000
2606002,4000
2606200,4000
2606309,4000
2606408,4000
2606507,4000
2606606,4000
2606804,4000
2606903,4000
2607000,4000
2607109,4000
2607307,4000
2607406,4000
2607505,4000
2607653,4000
2607703,4000
2607950,4000
2608008,4000
2608057,4000
2608206,4000
2608255,4000
2608305,4000
2608404,4000
2608602,4000
2608701,4000
2608750,4000
2608800,4000
2608909,4000
2609006,4000
2609154,4000
2609204,4000
2609501,4000
2609709,4000
2609808,4000
2609907,4000
2610004,4000
2610103,4000
2610202,4000
2610301,4000
2610400,4000
2610509,4000
2610608,4000
2610707,4000
2610806,4000
2610905,4000
2611002,4000
2611101,4000
2611507,4000
2611533,4000
2611606,4001
2611804,4000
2611903,4000
2612208,4000
2612307,4000
2612455,4000
2612471,4000
2612505,4000
2612554,4000
2612604,4000
2612802,4000
2612901,4000
2613008,4000
2613206,4000
2613404,4000
2613503,4000
2613602,4000
2613701,4000
2613800,4000
2613909,4000
2614006,4000
2614105,4000
2614204,4000
2614402,4000
2614501,4000
2614600,4000
2614808,4000
2614857,4000
2615003,4000
2615201,4000
2615300,5001
